"source","filename","time2scrape"
"dmccooey","JoinedTruncatedIcosahedron.txt","0.418"
"dmccooey","Rhombidodecadodecahedron.txt","0.418"
"dmccooey","SelfDualEnneahedron8.txt","0.42"
"dmccooey","SimplestD6v_1.txt","0.421"
"dmccooey","GreatPentakisDodecahedron.txt","0.422"
"dmccooey","SelfDualTridecahedron22.txt","0.422"
"dmccooey","BiscribedRhexpropelloCube.txt","0.425"
"dmccooey","JoinedRhombicosidodecahedron.txt","0.428"
"dmccooey","GreatHexacronicIcositetrahedron.txt","0.431"
"dmccooey","Schonhardt.txt","0.432"
"netlib","53","0.432"
"dmccooey","HeptagonalDodecahedronC1.txt","0.433"
"dmccooey","SimplestD2.txt","0.435"
"netlib","103","0.436"
"dmccooey","ElongatedTriangularDipyramid.txt","0.438"
"dmccooey","Hugel.txt","0.441"
"dmccooey","SelfDualHexadecahedron1.txt","0.443"
"dmccooey","PropelloIcosahedron.txt","0.444"
"netlib","133","0.445"
"netlib","73","0.447"
"dmccooey","Heptagrammic73Trapezohedron.txt","0.448"
"dmccooey","OctagrammicDipyramid.txt","0.449"
"netlib","79","0.45"
"dmccooey","SimplestT.txt","0.451"
"dmccooey","SmallDitrigonalIcosidodecahedron.txt","0.451"
"dmccooey","SimplestC2h_1.txt","0.452"
"netlib","15","0.452"
"dmccooey","GreatInvertedSnubIcosidodecahedron.txt","0.455"
"dmccooey","SelfDualDodecahedron2.txt","0.455"
"dmccooey","GreatDitrigonalDodecacronicHexecontahedron.txt","0.458"
"dmccooey","SelfDualTetradecahedron121.txt","0.458"
"dmccooey","RectifiedLsnubCube.txt","0.461"
"dmccooey","Szilassi1.txt","0.461"
"dmccooey","GeodesicCube9.txt","0.462"
"dmccooey","GreatDeltoidalIcositetrahedron.txt","0.462"
"dmccooey","Dodecahedron.txt","0.464"
"dmccooey","ChamferedCube1.txt","0.466"
"dmccooey","RegularTriangularToroid16.txt","0.466"
"dmccooey","BiscribedLpropelloLsnubCube.txt","0.468"
"dmccooey","MedialPentagonalHexecontahedron.txt","0.468"
"dmccooey","SelfDualHexadecahedron731.txt","0.472"
"dmccooey","GreatStellatedDodecahedron.txt","0.475"
"dmccooey","SimplestD2h.txt","0.476"
"dmccooey","SimplestTd.txt","0.477"
"dmccooey","SelfDualHendecahedron1.txt","0.478"
"dmccooey","SelfDualPentadecahedron364.txt","0.478"
"dmccooey","SelfDualTetradecahedron5.txt","0.484"
"netlib","95","0.484"
"dmccooey","RegularTriangularToroid18A1.txt","0.486"
"dmccooey","SimplestD6v_2.txt","0.487"
"dmccooey","GreatIcosicosidodecahedron.txt","0.489"
"dmccooey","SelfDualDecahedron1.txt","0.489"
"dmccooey","SelfDualTridecahedron3.txt","0.491"
"dmccooey","SelfDualIcosioctahedron4.txt","0.492"
"netlib","64","0.492"
"dmccooey","8TruncatedTriakisOctahedron2.txt","0.495"
"dmccooey","SelfDualHexadecahedron159.txt","0.496"
"dmccooey","JoinedLsnubCube.txt","0.497"
"dmccooey","PentagonalTrapezohedronAntiprismToroid.txt","0.5"
"dmccooey","BiscribedOrthokisPropelloCube.txt","0.501"
"dmccooey","RegularHexagonalToroid13A.txt","0.501"
"netlib","38","0.503"
"dmccooey","Icosahedron.txt","0.504"
"dmccooey","JoinedTruncatedCube.txt","0.504"
"netlib","31","0.506"
"netlib","54","0.506"
"dmccooey","RegularTriangularToroid18A2.txt","0.507"
"dmccooey","SimplestC2h_2.txt","0.507"
"dmccooey","ImproperSelfDualDecahedron1.txt","0.508"
"dmccooey","RectifiedTruncatedDodecahedron.txt","0.508"
"dmccooey","LsnubDodecahedron.txt","0.512"
"dmccooey","SelfDualHexadecahedron10.txt","0.515"
"netlib","89","0.517"
"dmccooey","SimplestD2v_1.txt","0.518"
"dmccooey","SmallTriambicIcosahedron.txt","0.518"
"dmccooey","TriakisIcosahedron.txt","0.518"
"dmccooey","BiscribedPropelloTetrahedron.txt","0.519"
"netlib","123","0.521"
"dmccooey","GreatRhombihexahedron.txt","0.522"
"dmccooey","OctagrammicPrism.txt","0.522"
"dmccooey","HeptagrammicConcaveTrapezohedron.txt","0.523"
"dmccooey","SelfDualDodecahedron3.txt","0.523"
"dmccooey","RegularHexagonalToroid13B2.txt","0.524"
"dmccooey","BiscribedSnubTruncatedOctahedron.txt","0.527"
"dmccooey","BiscribedOrthotruncatedPropelloOctahedron.txt","0.528"
"dmccooey","RegularTriangularToroid18B.txt","0.528"
"dmccooey","SelfDualTetradecahedron13.txt","0.528"
"dmccooey","KnottedDodecahedron.txt","0.53"
"dmccooey","SmallDodecicosahedron.txt","0.53"
"netlib","21","0.53"
"dmccooey","GreatDodecahemidodecahedron.txt","0.533"
"dmccooey","UniformGreatRhombicosidodecahedron.txt","0.533"
"dmccooey","SelfDualHendecahedron12.txt","0.535"
"dmccooey","SimplestD7h_1.txt","0.535"
"dmccooey","RhombicDodecahedron.txt","0.536"
"dmccooey","SmallIcosihemidodecahedron.txt","0.537"
"dmccooey","SelfDualOctahedron1.txt","0.538"
